# Radius Solution
0 -2.48587e-05
0.08 -2.48587e-05
0.16 -2.48587e-05
0.24 -2.48587e-05
0.32 -2.48587e-05
0.4 -2.48587e-05
0.48 -2.48587e-05
0.56 -2.48587e-05
0.64 -2.48587e-05
0.72 -2.48587e-05
0.8 -2.48587e-05
0.88 -2.48587e-05
0.96 -2.48587e-05
1.04 -2.48587e-05
1.12 -2.48587e-05
1.2 -2.48587e-05
1.28 -2.48587e-05
1.36 -2.48587e-05
1.44 -2.48587e-05
1.52 -2.48587e-05
1.6 -2.48587e-05
1.68 -2.48587e-05
1.76 -2.48587e-05
1.84 -2.48587e-05
1.92 -2.48587e-05
2 -2.48587e-05
2.08 -2.48587e-05
2.16 -2.48587e-05
2.24 -2.48587e-05
2.32 -2.48587e-05
2.4 -2.48587e-05
2.48 -2.48587e-05
2.56 -2.48587e-05
2.64 -2.48587e-05
2.72 -2.48587e-05
2.8 -2.48587e-05
2.88 -2.48587e-05
2.96 -2.48587e-05
3.04 -2.48587e-05
3.12 -2.48587e-05
3.2 -2.48587e-05
3.28 -2.48587e-05
3.36 -2.48587e-05
3.44 -2.48587e-05
3.52 -2.48587e-05
3.6 -2.48587e-05
3.68 -2.48587e-05
3.76 -2.48587e-05
3.84 -2.48587e-05
3.92 -2.48587e-05
4 -2.48587e-05
4.08 -2.48587e-05
4.16 -2.48587e-05
4.24 -2.48587e-05
4.32 -2.48587e-05
4.4 -2.48587e-05
4.48 -2.48587e-05
4.56 -2.48587e-05
4.64 -2.48587e-05
4.72 -2.48587e-05
4.8 -2.48587e-05
4.88 -2.48587e-05
4.96 -2.48587e-05
5.04 -2.48587e-05
5.12 -2.48587e-05
5.2 -2.48587e-05
5.28 -2.48587e-05
5.36 -2.48587e-05
5.44 -2.48587e-05
5.52 -2.48587e-05
5.6 -2.48587e-05
5.68 -2.48587e-05
5.76 -2.48587e-05
5.84 -2.48587e-05
5.92 -2.48587e-05
6 -2.48587e-05
6.08 -2.48587e-05
6.16 -2.48587e-05
6.24 -2.48587e-05
6.32 -2.48587e-05
6.4 -2.48587e-05
6.48 -2.48587e-05
6.56 -2.48587e-05
6.64 -2.48587e-05
6.72 -2.48587e-05
6.8 -2.48587e-05
6.88 -2.48587e-05
6.96 -2.48587e-05
7.04 -2.48587e-05
7.12 -2.48587e-05
7.2 -2.48587e-05
7.28 -2.48587e-05
7.36 -2.48587e-05
7.44 -2.48587e-05
7.52 -2.48587e-05
7.6 -2.48587e-05
7.68 -2.48587e-05
7.76 -2.48587e-05
7.84 -2.48587e-05
7.92 -2.48587e-05
8 -2.48587e-05
